tdate	ttime	sensorVAC	sensorVBat	sensorIBat	sensorILoad	modemType	sensorModem0	sensorModem1	sensorModem2	sensorModem3	sensorBUC	sensorSCPC	sensorSCADA	sensorTemp	sendStatus
2015-11-29	20:44:04	406	50.18	-0.59	0.15	Hughes HX-50	6.62	13.59	19.58	24.16	50.16	50.13	11.98	25	1
2015-11-29	20:46:04	406	50.18	-0.52	0.15	Hughes HX-50	6.61	13.57	19.58	24.19	50.16	50.13	11.98	26	1
2015-11-29	20:48:04	407	50.18	-0.52	0.15	Hughes HX-50	6.61	13.59	19.58	24.16	50.16	50.13	11.98	25	1
2015-11-29	20:50:04	408	50.18	-0.52	0.15	Hughes HX-50	6.61	13.59	19.61	24.16	50.1	50.13	11.98	25	1
2015-11-29	20:52:09	408	50.18	-0.52	0.22	Hughes HX-50	6.61	13.59	19.58	24.19	50.16	50.13	11.98	25	1
2015-11-29	20:54:04	407	50.18	-0.52	0.15	Hughes HX-50	6.61	13.57	19.58	24.16	50.1	50.13	11.98	25	1
2015-11-29	20:56:04	408	50.18	-0.52	0.15	Hughes HX-50	6.61	13.59	19.58	24.16	50.1	50.13	11.98	25	1
2015-11-29	20:58:05	407	50.18	-0.52	0.22	Hughes HX-50	6.61	13.59	19.58	24.16	50.1	50.13	11.98	25	1
2015-11-29	21:00:09	407	50.18	-0.52	0.15	Hughes HX-50	6.61	13.59	19.58	24.16	50.1	50.08	11.98	25	1
2015-11-29	21:02:04	406	50.18	-0.52	0.15	Hughes HX-50	6.6	13.59	19.58	24.19	50.1	50.13	11.98	25	1
2015-11-29	21:04:04	406	50.18	-0.52	0.15	Hughes HX-50	6.61	13.59	19.58	24.16	50.05	50.08	11.98	25	1
2015-11-29	21:06:04	406	50.18	-0.52	0.15	Hughes HX-50	6.61	13.59	19.58	24.16	50.05	50.08	11.98	25	1
2015-11-29	21:08:09	405	50.18	-0.52	0.15	Hughes HX-50	6.61	13.59	19.58	24.16	50.05	50.08	11.98	25	1
2015-11-29	21:10:05	405	50.18	-0.52	0.3	Hughes HX-50	6.61	13.59	19.58	24.16	50.05	50.08	11.94	25	1
2015-11-29	21:14:03	0	50.18	-0.52	0.15	Hughes HX-50	6.61	13.57	19.58	24.16	50.05	50.08	11.98	25	1
2015-11-29	21:16:14	7	50.18	-0.52	0.15	Hughes HX-50	6.61	13.59	19.58	24.16	50.05	50.08	11.98	25	1
2015-11-29	21:18:04	10	50.18	-0.52	0.15	Hughes HX-50	6.61	13.59	19.58	24.16	50	50.08	11.98	25	1
2015-11-29	21:20:03	14	50.18	-0.52	0.15	Hughes HX-50	6.61	13.57	19.58	24.16	50	50.02	11.98	25	1
2015-11-29	21:22:04	17	49.95	-0.59	0.15	Hughes HX-50	6.62	13.59	19.58	24.16	50.05	50.02	11.98	25	1
2015-11-29	21:24:03	21	50.18	-0.52	0.15	Hughes HX-50	6.61	13.59	19.58	24.16	50	50.02	11.98	25	1
2015-11-29	21:26:07	25	50.18	-0.52	0.15	Hughes HX-50	6.61	13.59	19.58	24.16	50	50.02	11.98	25	1
2015-11-29	21:28:13	27	50.18	-0.52	0.15	Hughes HX-50	6.61	13.59	19.58	24.16	50	50.02	11.98	25	1
